Order_ID,Product_Name,Category,Price,Quantity,Total_Amount,Customer_Name,Customer_Email,Customer_City,Customer_Age,Payment_Method,Order_Status,Order_Date
1,Offer Plus,Electronics,4298.38,3,12895.14,Alejandro Yang,gordonwalter@turner-moore.info,Lake Lauraborough,55,Cash on Delivery,Cancelled,2025-10-29
2,Every Lite,Clothing,9017.92,3,27053.76,Richard Villa,kristin61@martinez.biz,Jasonshire,21,Credit Card,Shipped,2025-10-29
3,Play Pro,Toys,7612.96,2,15225.92,Dylan Drake,frederick17@moreno-sanchez.org,Port Karen,60,UPI,Pending,2025-10-29
4,During Max,Electronics,4359.93,5,21799.65,Charles Brock,ryan08@duarte.com,Yangmouth,54,Debit Card,Returned,2025-10-29
5,Stage Pro,Books,8450.18,2,16900.36,Heather Perez,lesliehammond@brown-montgomery.com,Lake Trevorstad,32,UPI,Delivered,2025-10-29
6,Expect Plus,Beauty,6393.59,5,31967.95,Tammy Daniels,ballen@hotmail.com,North Kimberly,53,Cash on Delivery,Delivered,2025-10-29
7,Hand Pack,Electronics,2641.33,1,2641.33,Laura Wilson,wattsdavid@gmail.com,Melindaborough,18,Cash on Delivery,Delivered,2025-10-29
8,Court Plus,Books,2261.47,5,11307.35,Sara Willis,christophermayo@lawrence-murphy.net,Samuelmouth,30,UPI,Delivered,2025-10-29
9,Boy Lite,Sports,7126.11,2,14252.22,Casey Walker,moorealex@gmail.com,West Mary,27,UPI,Delivered,2025-10-29
10,Without Pack,Sports,7972.04,5,39860.2,Steven Wallace,thompsonbonnie@hotmail.com,Robertland,35,Cash on Delivery,Delivered,2025-10-29
11,Attorney Set,Clothing,213.18,3,639.54,Cynthia Rowland,mcdanielcarrie@williams-williams.biz,Gardnermouth,33,UPI,Delivered,2025-10-29
12,Against Max,Sports,8786.46,1,8786.46,David Gaines,gpatel@hotmail.com,Port Davidland,64,Cash on Delivery,Cancelled,2025-10-29
13,Very Set,Sports,9642.7,3,28928.1,Phyllis Johnson,rodriguezbeverly@morales.info,North Harryview,60,Credit Card,Delivered,2025-10-29
14,Push Plus,Electronics,8801.9,5,44009.5,Frank Johnson,bennettthomas@nolan.info,Brandonhaven,28,Net Banking,Pending,2025-10-29
15,Artist Pro,Beauty,1854.0,5,9270.0,Evan Booth,nunezbrian@allison.info,Bobbyfurt,52,Net Banking,Pending,2025-10-29
16,East Plus,Grocery,1176.09,3,3528.27,David Paul,lhubbard@hotmail.com,Ortizfort,26,UPI,Pending,2025-10-29
17,Inside Set,Toys,9222.85,5,46114.25,Stacie Farrell,hodgelinda@reed.com,South Anthonyhaven,26,Cash on Delivery,Shipped,2025-10-29
18,Begin Max,Beauty,7521.74,1,7521.74,Michael Estrada,pbarajas@yahoo.com,Espinozaland,53,Credit Card,Returned,2025-10-29
19,Behind Max,Toys,680.4,5,3402.0,David Green,jeremy45@kelly.com,South Paul,65,Cash on Delivery,Shipped,2025-10-29
20,Wait Max,Clothing,3857.73,2,7715.46,Nicole Mcfarland,nneal@browning.org,North Seth,26,UPI,Returned,2025-10-29
21,Above Pack,Clothing,3127.48,4,12509.92,Douglas Wheeler,gonzalezandrew@hotmail.com,Lake Danny,39,Debit Card,Returned,2025-10-29
22,Place Lite,Electronics,5277.26,1,5277.26,Tiffany Moore,ggarcia@yahoo.com,New Mary,53,Net Banking,Returned,2025-10-29
23,Form Lite,Home & Kitchen,5485.02,1,5485.02,Shirley Williams,kayleereyes@mccoy.biz,Mejiabury,39,UPI,Returned,2025-10-29
24,While Pro,Beauty,8659.39,5,43296.95,Alexander Daniels,tmurray@yahoo.com,Mendozaton,21,Cash on Delivery,Returned,2025-10-29
25,Name Pack,Grocery,4450.17,3,13350.51,Hayley Whitehead,wendy14@gmail.com,South Derrick,23,Cash on Delivery,Pending,2025-10-29
26,Than Set,Grocery,527.5,2,1055.0,Adrian Johnson,melvin43@walters.com,South Paul,33,Cash on Delivery,Pending,2025-10-29
27,Learn Pro,Electronics,6107.66,1,6107.66,William Martin,rcaldwell@yahoo.com,South Matthewtown,55,Cash on Delivery,Returned,2025-10-29
28,Friend Lite,Sports,7649.05,2,15298.1,Amy Roberts,anthonyperkins@romero.com,Parkermouth,49,UPI,Pending,2025-10-29
29,Change Max,Clothing,9702.21,4,38808.84,Rachel Cline,awilliams@burton-thompson.org,Davisside,64,Credit Card,Shipped,2025-10-29
30,Tv Plus,Toys,2658.3,1,2658.3,Yvonne Mcguire,brookeholt@yahoo.com,North Valeriemouth,64,Debit Card,Cancelled,2025-10-29
31,Indicate Set,Books,3951.16,4,15804.64,Sean Wu,zerickson@gmail.com,South Donnahaven,45,UPI,Pending,2025-10-29
32,Watch Pack,Sports,7538.43,5,37692.15,Jessica Garcia,ashley17@lee.com,Johnmouth,52,Cash on Delivery,Shipped,2025-10-29
33,Skill Plus,Grocery,5423.22,5,27116.1,Tina Ritter,priceclaire@reed.com,Gregoryside,22,Debit Card,Pending,2025-10-29
34,Expert Pack,Toys,9962.22,5,49811.1,Nicholas Watkins,gmcmahon@cooley.org,Brownland,18,Credit Card,Shipped,2025-10-29
35,Something Set,Sports,2880.11,5,14400.55,Kristina Bender,ingramdiane@wallace.com,Bergmouth,32,UPI,Delivered,2025-10-29
36,Action Pro,Electronics,6128.64,2,12257.28,Joseph Ross,vreed@yahoo.com,Grayberg,48,UPI,Shipped,2025-10-29
37,Realize Max,Home & Kitchen,3033.29,5,15166.45,Nancy Davis,uharmon@cross.org,Ellisstad,32,Credit Card,Cancelled,2025-10-29
38,If Pro,Books,5785.75,5,28928.75,Carolyn Keller,ilopez@evans-munoz.org,Port Shawna,58,Cash on Delivery,Pending,2025-10-29
39,Agent Max,Beauty,3281.8,3,9845.4,Travis Bradley,jonesethan@yahoo.com,New Brittany,26,Cash on Delivery,Returned,2025-10-29
40,With Pro,Beauty,1935.88,1,1935.88,Tara White,catherinewashington@hill-pugh.com,Port Dennis,19,Debit Card,Cancelled,2025-10-29
41,Reveal Set,Clothing,2819.75,2,5639.5,Jennifer Johnson,mccarthyandrea@hotmail.com,Cherylborough,24,UPI,Pending,2025-10-29
42,Camera Pack,Beauty,9287.87,1,9287.87,Sydney Robinson,bellashley@gmail.com,New Shanebury,35,Credit Card,Returned,2025-10-29
43,Rate Lite,Sports,495.96,1,495.96,Randall Jensen,kristyschmidt@gmail.com,Wongberg,64,Credit Card,Pending,2025-10-29
44,Recognize Set,Clothing,1633.02,1,1633.02,Michael Thomas,erin92@gmail.com,Melissatown,19,Cash on Delivery,Returned,2025-10-29
45,Compare Pack,Books,7139.14,5,35695.7,Clinton Powers,cmurphy@ward.com,Mullenborough,22,Credit Card,Cancelled,2025-10-29
46,Other Set,Toys,1654.67,2,3309.34,Gina Tapia,fergusonmichael@hall-hinton.com,Emilytown,38,Net Banking,Pending,2025-10-29
47,Young Plus,Beauty,8488.57,4,33954.28,Roy Henson,bmack@gmail.com,Hollyberg,44,Net Banking,Returned,2025-10-29
48,Former Max,Beauty,2081.61,3,6244.83,Laura Stewart,randytaylor@gmail.com,South Mark,32,Cash on Delivery,Returned,2025-10-29
49,Black Set,Books,689.04,4,2756.16,Daniel Long,turnerwilliam@yahoo.com,Snydershire,27,Debit Card,Delivered,2025-10-29
50,Including Pro,Clothing,2248.3,2,4496.6,Michael Welch,serranojennifer@yahoo.com,Karentown,59,Net Banking,Returned,2025-10-29
51,Once Plus,Clothing,7346.44,5,36732.2,Joel Berry,mary26@waters.com,South Bryan,36,Cash on Delivery,Cancelled,2025-10-29
52,Special Lite,Sports,8278.32,4,33113.28,Jeremiah Romero,brittanyrobles@hotmail.com,Beverlyland,25,Credit Card,Returned,2025-10-29
53,Buy Pro,Toys,8912.63,1,8912.63,Randy Duke,pcohen@romero.com,Richfort,38,Debit Card,Returned,2025-10-29
54,Whose Plus,Sports,2945.58,5,14727.9,Charles Parker,taylorjohn@gmail.com,West Michelle,53,Cash on Delivery,Returned,2025-10-29
55,Section Plus,Electronics,1945.18,2,3890.36,Samuel Ross,pbailey@hotmail.com,Erikamouth,56,Net Banking,Delivered,2025-10-29
56,Study Pack,Home & Kitchen,8012.18,1,8012.18,Jessica Ellis,theresawatts@yahoo.com,Stewartshire,21,Credit Card,Cancelled,2025-10-29
57,Employee Plus,Books,5499.92,3,16499.76,Jason Cochran,michellenelson@yahoo.com,Timothyshire,63,UPI,Returned,2025-10-29
58,Likely Pack,Home & Kitchen,3490.33,3,10470.99,Kenneth Morse,shannonjennifer@yahoo.com,Port Marc,59,UPI,Delivered,2025-10-29
59,Until Plus,Toys,4364.48,1,4364.48,Mr. David Sutton Jr.,edward65@hamilton.com,Smithbury,55,Cash on Delivery,Delivered,2025-10-29
60,Head Set,Clothing,9694.8,4,38779.2,Susan Dalton,camachorichard@gmail.com,Crystalmouth,26,UPI,Pending,2025-10-29
61,Marriage Pack,Sports,2945.45,3,8836.35,Donald Smith,anthony19@gmail.com,New Vickieview,49,Credit Card,Delivered,2025-10-29
62,Assume Pro,Grocery,298.27,3,894.81,Laurie Wiley,khoffman@myers.info,Erikaport,41,UPI,Returned,2025-10-29
63,Research Pack,Clothing,3911.78,5,19558.9,Kristin Walls,yolanda82@lopez-lopez.info,North Allison,35,Cash on Delivery,Cancelled,2025-10-29
64,Figure Pack,Home & Kitchen,7715.4,5,38577.0,David Kim,robin10@gmail.com,Andreamouth,61,Cash on Delivery,Shipped,2025-10-29
65,Author Pro,Toys,4596.63,2,9193.26,Nicholas Cooley,mollymoore@yahoo.com,Gracemouth,37,Net Banking,Delivered,2025-10-29
66,Seem Max,Sports,584.77,1,584.77,Leslie Rangel,stevensandrea@chapman-buck.com,North Aaronberg,65,Net Banking,Shipped,2025-10-29
67,Everybody Pack,Beauty,7858.99,3,23576.97,John Rosario,vadkins@evans.com,South Melissachester,60,Net Banking,Returned,2025-10-29
68,Born Lite,Sports,3186.93,1,3186.93,Anthony Castro,jirwin@gmail.com,Melindachester,22,Cash on Delivery,Delivered,2025-10-29
69,Thing Lite,Grocery,6892.78,4,27571.12,Caleb Rios,banksgary@buchanan.com,Port Jermainetown,37,Net Banking,Shipped,2025-10-29
70,Participant Pack,Sports,6887.3,1,6887.3,Gabriel Proctor,lgarcia@hurley.com,Joshuaburgh,26,Credit Card,Pending,2025-10-29
71,Could Set,Sports,3107.38,2,6214.76,Lonnie Sparks,fsanchez@yahoo.com,Juliamouth,24,UPI,Cancelled,2025-10-29
72,Fall Lite,Beauty,3112.07,4,12448.28,Marc Thompson,cynthiaowens@gmail.com,West Zachary,59,UPI,Returned,2025-10-29
73,Detail Pro,Beauty,4697.84,3,14093.52,Linda Francis,allenford@mcbride-randall.info,Paulstad,25,Credit Card,Returned,2025-10-29
74,Red Set,Home & Kitchen,9302.26,3,27906.78,Christina Herrera,gregory50@gmail.com,Lake Andre,55,Net Banking,Cancelled,2025-10-29
75,History Pack,Toys,3562.92,3,10688.76,Amanda Anderson,samantha56@yahoo.com,East Elizabeth,43,Debit Card,Delivered,2025-10-29
76,Simple Set,Clothing,9026.46,2,18052.92,Brittany Young,rossdawn@flynn.com,South Jerrymouth,60,Credit Card,Cancelled,2025-10-29
77,Ever Pro,Electronics,6610.13,5,33050.65,Herbert Martinez,bruce52@johnson.com,South Samuelville,49,Credit Card,Returned,2025-10-29
78,Participant Plus,Home & Kitchen,4394.59,2,8789.18,Kristopher Jimenez,bsmith@hill.com,East Rachaelhaven,58,UPI,Cancelled,2025-10-29
79,Well Set,Grocery,8918.5,3,26755.5,Ricardo Gibson,anthonybrown@yahoo.com,Juliefort,43,Credit Card,Shipped,2025-10-29
80,Level Max,Toys,8667.12,2,17334.24,Corey Ellis,jeffery59@bennett-cook.org,South Jeremy,22,Debit Card,Pending,2025-10-29
81,Today Max,Clothing,8748.24,3,26244.72,John Miles,ortizzachary@gmail.com,Mariamouth,43,Cash on Delivery,Cancelled,2025-10-29
82,Clearly Pro,Electronics,4716.21,4,18864.84,Justin Madden,adrian89@fox.net,Hartmanport,65,Debit Card,Cancelled,2025-10-29
83,Training Plus,Home & Kitchen,8859.14,5,44295.7,Gabriel Morse,aaron36@gmail.com,South Robert,45,Credit Card,Shipped,2025-10-29
84,Better Lite,Books,3335.16,3,10005.48,Jason Jackson,odommelissa@bowen-kent.com,New Elainehaven,41,Cash on Delivery,Cancelled,2025-10-29
85,Benefit Lite,Electronics,5992.55,2,11985.1,Adam Hansen,robinsonmelissa@yahoo.com,North Julie,45,Net Banking,Returned,2025-10-29
86,Speech Set,Home & Kitchen,1450.93,3,4352.79,Brianna Jones,williamlee@hotmail.com,North Kyle,33,Debit Card,Shipped,2025-10-29
87,Involve Plus,Beauty,6342.87,3,19028.61,Kyle Padilla,carlsondeborah@nelson-smith.com,Port Debbie,29,Credit Card,Cancelled,2025-10-29
88,Manage Pack,Home & Kitchen,2247.75,2,4495.5,Shelia Wiggins,lewischarles@hotmail.com,Port Christopher,32,Net Banking,Returned,2025-10-29
89,Kitchen Plus,Books,8821.87,5,44109.35,Donna Reese,melissa16@hotmail.com,Deborahmouth,30,Credit Card,Delivered,2025-10-29
90,Summer Set,Books,2871.11,5,14355.55,John Miller,nshields@johnson.com,Pittsview,39,UPI,Returned,2025-10-29
91,Skin Pack,Toys,9911.38,2,19822.76,Thomas Fox,hvalencia@alvarez.com,West Samantha,55,Credit Card,Cancelled,2025-10-29
92,Medical Max,Electronics,4308.17,1,4308.17,Carlos White,russell52@ramirez.com,Harrisland,46,UPI,Returned,2025-10-29
93,Huge Max,Electronics,2374.47,5,11872.35,David Jones,gardnertasha@hess-glover.com,New Thomas,59,Credit Card,Cancelled,2025-10-29
94,Style Set,Books,5152.5,1,5152.5,Mary Horton,rachel84@gmail.com,East Jasonport,57,Cash on Delivery,Shipped,2025-10-29
95,Again Lite,Grocery,2766.65,3,8299.95,Perry Gamble,kelsey95@hotmail.com,Charlesborough,38,Credit Card,Returned,2025-10-29
96,Safe Pro,Sports,1141.72,1,1141.72,Thomas Le,colonshannon@yahoo.com,Amberberg,60,UPI,Shipped,2025-10-29
97,Side Lite,Toys,6789.18,4,27156.72,Roger Diaz,rowlandangela@grimes-santos.com,North Gabriel,41,Cash on Delivery,Shipped,2025-10-29
98,Discover Pro,Home & Kitchen,4361.41,5,21807.05,Sarah Shaw DVM,kaylee18@yahoo.com,Joshuachester,32,Net Banking,Delivered,2025-10-29
99,Cell Pack,Toys,5311.34,2,10622.68,Kathleen Wallace,edward50@jones-gilbert.biz,Lake Henryland,43,Credit Card,Pending,2025-10-29
100,Wind Set,Home & Kitchen,8439.0,5,42195.0,Richard Marquez,benjamin12@reyes.com,Charlesborough,49,Debit Card,Cancelled,2025-10-29
101,Blood Max,Grocery,5237.18,5,26185.9,Elizabeth Morgan,craig75@yahoo.com,New Misty,56,Net Banking,Shipped,2025-10-29
102,Evidence Set,Clothing,5329.27,2,10658.54,Louis Mendoza,larsonmatthew@pruitt.com,East Ronald,21,Credit Card,Cancelled,2025-10-29
103,Entire Max,Electronics,9470.83,5,47354.15,Jessica Morrison,johnsonbradley@hotmail.com,Lake Diana,24,Cash on Delivery,Cancelled,2025-10-29
104,Land Set,Clothing,2435.97,1,2435.97,Lindsey Robinson,wyatt51@yahoo.com,West Calvin,59,Debit Card,Cancelled,2025-10-29
105,On Lite,Home & Kitchen,7385.83,4,29543.32,Katherine Hayes,schmidtphilip@gmail.com,Cherylburgh,52,Net Banking,Shipped,2025-10-29
106,Subject Max,Sports,1803.24,5,9016.2,Katherine Diaz,freytiffany@yahoo.com,East Kathy,62,Net Banking,Shipped,2025-10-29
107,Already Set,Grocery,6329.24,3,18987.72,Rachel Jackson,stoneheather@hamilton.com,Gouldfort,45,Net Banking,Delivered,2025-10-29
108,Sign Plus,Beauty,9282.88,5,46414.4,Matthew Olson,mendozapatrick@phillips.info,Port Leslie,61,Debit Card,Returned,2025-10-29
